"Date","City","State","AreaType","School","Fatalities","Wounded","lat","lng"
"3/27/90","Brooklyn","New York","urban","C",0,1,40.6501,-73.9496
"5/20/90","Centerville","Tennessee","suburban","HS",1,2,35.8042,-87.4577
"8/26/90","Las Vegas","Nevada","urban","HS",1,2,36.2333,-115.2654
"9/11/90","San Antonio","Texas","urban","HS",0,3,29.4658,-98.5253
"1/8/91","Richardson","Texas","urban","HS",0,0,32.9717,-96.7093
"2/6/91","Donna","Texas","suburban","HS",1,0,26.1467,-98.0559
"4/23/91","Compton","California","suburban","MS",1,0,33.893,-118.2275
"9/18/91","Crosby","Texas","suburban","HS",1,0,29.9146,-95.0591
"10/8/91","Bronx","New York","urban","HS",1,2,40.8501,-73.8662
"11/1/91","Iowa City","Iowa","suburban","C",6,1,41.6559,-91.5303
"11/14/91","Houston","Texas","urban","HS",0,0,29.7863,-95.3889
"11/25/91","Brooklyn","New York","urban","HS",1,0,40.6501,-73.9496
"12/12/91","Kent","Ohio","urban","C",1,0,41.149,-81.361
"1/29/92","Kent","Ohio","urban","C",0,1,41.149,-81.361
"2/26/92","Brooklyn","New York","urban","HS",2,0,40.6501,-73.9496
"5/1/92","Olivehurst","California","suburban","HS",3,10,39.0817,-121.5549
"5/14/92","Napa","California","urban","MS",0,0,38.2976,-122.3011
"9/11/92","Lincoln","Texas","urban","HS",0,0,30.286767, -96.963402
"10/12/92","Lincoln","Nebraska","urban","C",0,0,40.809,-96.6788
"10/12/92","Tucson","Arizona","urban","HS",1,2,32.1545,-110.8782
"10/19/92","Bronx","New York","suburban","HS",0,3,40.8501,-73.8662
"11/4/92","Detroit","Michigan","urban","HS",0,11,42.3834,-83.1024
"11/10/92","Chicago","Illinois","urban","ES",0,0,41.8373,-87.6862
"11/13/92","Houston","Texas","urban","HS",1,2,29.7863,-95.3889
"11/16/92","Birmingham","Alabama","urban","HS",1,2,33.5277,-86.7987
"11/20/92","Chicago","Illinois","urban","HS",1,2,41.8373,-87.6862
"11/23/92","Buffalo","New York","urban","HS",0,0,42.9016,-78.8487
"12/3/92","Chicago","Illinois","urban","ES",1,2,41.8373,-87.6862
"12/14/92","Great Barrington","Massachusetts","suburban","C",2,4,42.193709, -73.368485
"1/6/93","Brentwood","New York","suburban","HS",0,1,40.7839,-73.2522
"1/8/93","Kinzers","Pennsylvania","suburban","HS",1,2,40.002454, -76.064472
"1/12/93","Miami","Florida","urban","HS",1,2,25.7839,-80.2102
"1/18/93","Grayson","Kentucky","suburban","HS",2,0,38.3317,-82.9371
"1/21/93","Los Angeles","California","urban","HS",1,2,34.1139,-118.4068
"2/1/93","Redmond","Washington","urban","MS",1,2,47.6762,-122.1169
"2/1/93","Amityville","New York","suburban","HS",1,2,40.6696,-73.4156
"2/4/93","Clayton County","Georgia","urban","HS",1,2,33.612772, -84.354536
"2/8/93","Middle River","Minnesota","suburban","MS",1,2,48.4349,-96.1617
"2/8/93","Washington","District of Columbia","urban","HS",1,2,38.9047,-77.0163
"2/18/93","Dallas","Texas","urban","HS",1,2,32.7936,-96.7662
"2/22/93","Los Angeles","California","urban","HS",1,0,34.1139,-118.4068
"2/26/93","Gloucester","Massachusetts","suburban","HS",0,0,42.626,-70.6897
"3/18/93","Harlem","Georgia","suburban","HS",1,2,33.4262,-82.3129
"3/25/93","St. Louis","Missouri","urban","HS",1,2,38.6358,-90.2451
"4/3/93","Sacramento","California","urban","HS",1,2,38.5667,-121.4683
"4/14/93","Irving","Texas","urban","HS",1,2,32.8584,-96.9702
"4/15/93","Acushnet","Massachusetts","suburban","MS",1,0,41.681831, -70.910570
"4/16/93","Sacramento","California","urban","HS",1,2,38.5667,-121.4683
"4/26/93","Raleigh","North Carolina","urban","HS",1,2,35.8325,-78.6435
"5/14/93","Irving","Texas","urban","HS",1,0,32.8584,-96.9702
"5/24/93","Red Hill","Pennsylvania","suburban","HS",1,2,40.3771,-75.4838
"5/24/93","Pennsburg","Pennsylvania","suburban","HS",1,0,40.3936,-75.4965
"5/27/93","New Orleans","Louisiana","urban","HS",1,2,30.0687,-89.9288
"7/8/93","Ogden","Utah","urban","C",1,2,41.2278,-111.9682
"8/31/93","Atlanta","Georgia","urban","HS",1,2,33.7627,-84.4224
"9/2/93","Dallas","Texas","urban","HS",1,2,32.7936,-96.7662
"9/17/93","Sheridan","Wyoming","suburban","MS",1,4,44.7962,-106.9643
"10/12/93","New Castle","Delaware","suburban","HS",1,2,39.6685,-75.5692
"10/14/93","Detroit","Michigan","urban","HS",1,2,42.3834,-83.1024
"11/1/93","Chicago","Illinois","urban","HS",1,2,41.8373,-87.6862
"11/4/93","Jacksonville","Florida","urban","HS",1,2,30.3322,-81.6749
"11/4/93","New Britain","Connecticut","suburban","HS",1,0,41.6758,-72.7862
"11/5/93","Bay Springs","Mississippi","suburban","HS",1,2,31.9772,-89.2792
"11/29/93","Kansas City","Missouri","urban","HS",1,2,39.1239,-94.5541
"12/1/93","Wauwatosa","Wisconsin","suburban","HS",1,0,43.0615,-88.0347
"12/8/93","Savannah","Georgia","urban","HS",1,2,32.0281,-81.1784
"12/17/93","Chelsea","Michigan","suburban","HS",1,2,42.3132,-84.0188
"1/20/94","Kennard","Texas","suburban","HS",0,0,31.3575,-95.1854
"1/20/94","Hacienda Heights","California","urban","HS",1,2,33.997,-117.9728
"1/24/94","Columbia","South Carolina","urban","HS",1,0,34.0376,-80.9037
"1/26/94","Columbia","South Carolina","urban","HS",1,2,34.0376,-80.9037
"1/31/94","Seattle","Washington","urban","MS",1,0,47.6211,-122.3244
"2/8/94","Detroit","Michigan","urban","HS",1,2,42.3834,-83.1024
"2/14/94","Belmont","California","suburban","HS",1,2,37.5154,-122.2955
"2/18/94","Spartanburg","South Carolina","suburban","HS",0,1,34.9437,-81.9257
"3/1/94","Boonville","Missouri","suburban","HS",2,0,38.9588,-92.7471
"3/15/94","Charleston","South Carolina","urban","HS",1,2,32.8153,-79.9628
"3/22/94","Riviera Beach","Florida","urban","MS",0,0,26.781217, -80.062120
"3/23/94","Seattle","Washington","urban","HS",1,2,47.6211,-122.3244
"3/25/94","Woodstock","Georgia","suburban","HS",0,0,34.1026,-84.509
"4/12/94","Butte","Montana","suburban","ES",1,0,45.902,-112.6571
"4/13/94","Los Angeles","California","urban","ES",0,0,34.1139,-118.4068
"4/21/94","Nashville","Tennessee","urban","MS",1,0,36.1715,-86.7843
"5/2/94","North Miami","Florida","suburban","HS",1,2,25.9007,-80.1686
"5/25/94","Union","Kentucky","suburban","HS",4,8,38.9472,-84.6731
"7/25/94","Ottumwa","Iowa","suburban","HS",1,2,41.0196,-92.4186
"9/7/94","Hollywood","California","urban","HS",1,2,34.094681, -118.321242
"10/12/94","Greensboro","North Carolina","urban","HS",1,1,36.0956,-79.8269
"10/17/94","Chicago","Illinois","urban","HS",0,1,41.8373,-87.6862
"11/5/94","San Leandro","California","urban","ES",1,2,37.7071,-122.1601
"11/7/94","Wickliffe","Ohio","suburban","MS",1,4,41.6072,-81.469
"11/15/94","Tacoma","Washington","urban","HS",1,2,47.2431,-122.4531
"12/14/94","Albany","New York","urban","C",0,1,42.6664,-73.7987
"1/5/95","Washington","District of Columbia","urban","HS",1,2,38.9047,-77.0163
"1/10/95","Palm Beach Gardens","Florida","suburban","HS",0,0,26.8466,-80.1679
"1/12/95","Seattle","Washington","urban","HS",0,2,47.6211,-122.3244
